discount_factor,learn_rate,hidden_dim,init_temp,result
0.98,0.01,64,1.05,156.64266666666666
0.98,0.01,64,1.1,155.27226666666667
0.98,0.01,64,1.15,146.4586666666667
0.98,0.01,128,1.05,129.7792
0.98,0.01,128,1.1,120.17653333333332
0.98,0.01,128,1.15,125.21733333333331
0.98,0.01,256,1.05,97.11626666666668
0.98,0.01,256,1.1,98.79413333333335
0.98,0.01,256,1.15,69.8176
0.98,0.001,64,1.05,136.9384
0.98,0.001,64,1.1,130.41173333333333
0.98,0.001,64,1.15,130.1648
0.98,0.001,128,1.05,140.4408
0.98,0.001,128,1.1,148.004
0.98,0.001,128,1.15,150.34453333333332
0.98,0.001,256,1.05,152.33306666666667
0.98,0.001,256,1.1,154.01253333333335
0.98,0.001,256,1.15,156.83173333333332
0.98,0.0001,64,1.05,27.130133333333333
0.98,0.0001,64,1.1,29.500533333333333
0.98,0.0001,64,1.15,28.246133333333336
0.98,0.0001,128,1.05,34.5856
0.98,0.0001,128,1.1,34.6136
0.98,0.0001,128,1.15,35.7192
0.98,0.0001,256,1.05,54.4
0.98,0.0001,256,1.1,56.717866666666666
0.98,0.0001,256,1.15,46.501866666666665
0.985,0.01,64,1.05,149.00746666666663
0.985,0.01,64,1.1,134.0392
0.985,0.01,64,1.15,151.25066666666666
0.985,0.01,128,1.05,124.204
0.985,0.01,128,1.1,123.90906666666667
0.985,0.01,128,1.15,132.28266666666667
0.985,0.01,256,1.05,96.84399999999998
0.985,0.01,256,1.1,80.91813333333332
0.985,0.01,256,1.15,127.07866666666669
0.985,0.001,64,1.05,133.73093333333333
0.985,0.001,64,1.1,133.48106666666666
0.985,0.001,64,1.15,134.80853333333332
0.985,0.001,128,1.05,150.50373333333334
0.985,0.001,128,1.1,148.55786666666668
0.985,0.001,128,1.15,150.16879999999998
0.985,0.001,256,1.05,156.67226666666667
0.985,0.001,256,1.1,160.3834666666667
0.985,0.001,256,1.15,153.55973333333336
0.985,0.0001,64,1.05,29.619466666666664
0.985,0.0001,64,1.1,27.277066666666666
0.985,0.0001,64,1.15,26.641333333333336
0.985,0.0001,128,1.05,33.816266666666664
0.985,0.0001,128,1.1,34.40906666666667
0.985,0.0001,128,1.15,36.0296
0.985,0.0001,256,1.05,50.98186666666667
0.985,0.0001,256,1.1,46.71466666666667
0.985,0.0001,256,1.15,49.8048
0.99,0.01,64,1.05,149.57253333333333
0.99,0.01,64,1.1,152.5408
0.99,0.01,64,1.15,147.94266666666667
0.99,0.01,128,1.05,131.116
0.99,0.01,128,1.1,147.0528
0.99,0.01,128,1.15,109.21253333333334
0.99,0.01,256,1.05,101.072
0.99,0.01,256,1.1,104.57919999999999
0.99,0.01,256,1.15,105.15813333333332
0.99,0.001,64,1.05,134.31040000000002
0.99,0.001,64,1.1,127.28506666666667
0.99,0.001,64,1.15,137.2688
0.99,0.001,128,1.05,153.70026666666666
0.99,0.001,128,1.1,145.14266666666666
0.99,0.001,128,1.15,146.56746666666666
0.99,0.001,256,1.05,154.56906666666666
0.99,0.001,256,1.1,159.18400000000003
0.99,0.001,256,1.15,157.80159999999998
0.99,0.0001,64,1.05,28.5032
0.99,0.0001,64,1.1,26.248533333333334
0.99,0.0001,64,1.15,28.649866666666668
0.99,0.0001,128,1.05,28.534666666666663
0.99,0.0001,128,1.1,34.35119999999999
0.99,0.0001,128,1.15,31.989066666666666
0.99,0.0001,256,1.05,46.904799999999994
0.99,0.0001,256,1.1,51.09733333333334
0.99,0.0001,256,1.15,47.93706666666667
