discount_factor,learn_rate_policy,learn_rate_value,hidden_dim_policy,hidden_dim_value,init_temp,result
0.98,0.01,0.01,64,64,1.05,155.669066666667
0.98,0.01,0.01,64,64,1.1,161.441333333333
0.98,0.01,0.01,64,64,1.15,153.254133333333
0.98,0.01,0.01,64,128,1.05,157.6616
0.98,0.01,0.01,64,128,1.1,110.1704
0.98,0.01,0.01,64,128,1.15,148.324
0.98,0.01,0.01,64,256,1.05,149.5024
0.98,0.01,0.01,64,256,1.1,149.8624
0.98,0.01,0.01,64,256,1.15,165.8456
0.98,0.01,0.01,128,64,1.05,126.655466666667
0.98,0.01,0.01,128,64,1.1,103.510666666667
0.98,0.01,0.01,128,64,1.15,132.115466666667
0.98,0.01,0.01,128,128,1.05,117.9328
0.98,0.01,0.01,128,128,1.1,114.993866666667
0.98,0.01,0.01,128,128,1.15,115.5536
0.98,0.01,0.01,128,256,1.05,143.3272
0.98,0.01,0.01,128,256,1.1,140.438133333333
0.98,0.01,0.01,128,256,1.15,150.7016
0.98,0.01,0.01,256,64,1.05,79.3418666666667
0.98,0.01,0.01,256,64,1.1,112.477866666667
0.98,0.01,0.01,256,64,1.15,115.650133333333
0.98,0.01,0.01,256,128,1.05,97.5845333333333
0.98,0.01,0.01,256,128,1.1,81.1138666666667
0.98,0.01,0.01,256,128,1.15,102.284
0.98,0.01,0.01,256,256,1.05,95.3114666666667
0.98,0.01,0.01,256,256,1.1,83.6349333333333
0.98,0.01,0.01,256,256,1.15,94.2224
0.98,0.01,0.001,64,64,1.05,140.850933333333
0.98,0.01,0.001,64,64,1.1,138.9064
0.98,0.01,0.001,64,64,1.15,132.744533333333
0.98,0.01,0.001,64,128,1.05,134.146666666667
0.98,0.01,0.001,64,128,1.1,139.2824
0.98,0.01,0.001,64,128,1.15,130.1976
0.98,0.01,0.001,64,256,1.05,140.517333333333
0.98,0.01,0.001,64,256,1.1,139.1272
0.98,0.01,0.001,64,256,1.15,139.788266666667
0.98,0.01,0.001,128,64,1.05,49.3637333333333
0.98,0.01,0.001,128,64,1.1,129.422133333333
0.98,0.01,0.001,128,64,1.15,100.1648
0.98,0.01,0.001,128,128,1.05,144.5472
0.98,0.01,0.001,128,128,1.1,76.2413333333333
0.98,0.01,0.001,128,128,1.15,130.1272
0.98,0.01,0.001,128,256,1.05,144.240533333333
0.98,0.01,0.001,128,256,1.1,127.622933333333
0.98,0.01,0.001,128,256,1.15,114.442133333333
0.98,0.01,0.001,256,64,1.05,55.9589333333333
0.98,0.01,0.001,256,64,1.1,45.4061333333333
