discount_factor,learn_rate,hidden_dim,init_temp,result
0.98,0.01,64,1.05,19.1658666666667
0.98,0.01,64,1.1,18.7477333333333
0.98,0.01,64,1.15,18.1869333333333
0.98,0.01,128,1.05,23.5202666666667
0.98,0.01,128,1.1,18.2941333333333
0.98,0.01,128,1.15,20.1013333333333
0.98,0.01,256,1.05,27.6074666666667
0.98,0.01,256,1.1,23.3368
0.98,0.01,256,1.15,23.6133333333333
0.98,0.001,64,1.05,18.768
0.98,0.001,64,1.1,19.6192
0.98,0.001,64,1.15,13.6864
0.98,0.001,128,1.05,16.2970666666667
0.98,0.001,128,1.1,17.0469333333333
0.98,0.001,128,1.15,15.7141333333333
0.98,0.001,256,1.05,20.2885333333333
0.98,0.001,256,1.1,20.6981333333333
0.98,0.001,256,1.15,19.6173333333333
0.98,0.0001,64,1.05,25.2717333333333
0.98,0.0001,64,1.1,24.9272
0.98,0.0001,64,1.15,23.3112
0.98,0.0001,128,1.05,25.1341333333333
0.98,0.0001,128,1.1,20.1696
0.98,0.0001,128,1.15,21.9632
0.98,0.0001,256,1.05,19.3016
0.98,0.0001,256,1.1,21.8778666666667
0.98,0.0001,256,1.15,20.5037333333333
0.985,0.01,64,1.05,23.6101333333333
0.985,0.01,64,1.1,19.2506666666667
0.985,0.01,64,1.15,21.7197333333333
0.985,0.01,128,1.05,17.832
0.985,0.01,128,1.1,23.6970666666667
0.985,0.01,128,1.15,18.188
0.985,0.01,256,1.05,27.1818666666667
0.985,0.01,256,1.1,23.4210666666667
0.985,0.01,256,1.15,23.7184
0.985,0.001,64,1.05,16.0416
0.985,0.001,64,1.1,16.9821333333333
0.985,0.001,64,1.15,14.8597333333333
0.985,0.001,128,1.05,14.3928
0.985,0.001,128,1.1,15.3149333333333
0.985,0.001,128,1.15,15.8810666666667
0.985,0.001,256,1.05,20.8133333333333
0.985,0.001,256,1.1,14.8197333333333
0.985,0.001,256,1.15,17.4653333333333
0.985,0.0001,64,1.05,20.9832
0.985,0.0001,64,1.1,23.7912
0.985,0.0001,64,1.15,26.5802666666667
0.985,0.0001,128,1.05,25.9378666666667
0.985,0.0001,128,1.1,25.4288
0.985,0.0001,128,1.15,23.0826666666667
0.985,0.0001,256,1.05,21.0429333333333
0.985,0.0001,256,1.1,19.412
0.985,0.0001,256,1.15,14.6514666666667
0.99,0.01,64,1.05,20.5536
0.99,0.01,64,1.1,21.2328
0.99,0.01,64,1.15,20.2874666666667
0.99,0.01,128,1.05,19.9842666666667
0.99,0.01,128,1.1,20.6410666666667
0.99,0.01,128,1.15,20.2424
0.99,0.01,256,1.05,27.1818666666667
0.99,0.01,256,1.1,25.6741333333333
0.99,0.01,256,1.15,23.6029333333333
0.99,0.001,64,1.05,18.5202666666667
0.99,0.001,64,1.1,17.0482666666667
0.99,0.001,64,1.15,18.2429333333333
0.99,0.001,128,1.05,17.0312
0.99,0.001,128,1.1,22.0373333333333
0.99,0.001,128,1.15,14.2042666666667
0.99,0.001,256,1.05,15.0002666666667
0.99,0.001,256,1.1,14.3872
0.99,0.001,256,1.15,11.6410666666667
0.99,0.0001,64,1.05,25.5677333333333
0.99,0.0001,64,1.1,17.8864
0.99,0.0001,64,1.15,23.908
0.99,0.0001,128,1.05,26.56
0.99,0.0001,128,1.1,23.4216
0.99,0.0001,128,1.15,20.7162666666667
0.99,0.0001,256,1.05,23.1810666666667
0.99,0.0001,256,1.1,22.6712
0.99,0.0001,256,1.15,23.076
