discount_factor,learn_rate,hidden_dim,init_temp,result
0.98,0.01,64,1.05,23.820533333333334
0.98,0.01,64,1.1,22.876266666666666
0.98,0.01,64,1.15,24.2264
0.98,0.01,128,1.05,25.804000000000002
0.98,0.01,128,1.1,25.732266666666664
0.98,0.01,128,1.15,22.248533333333334
0.98,0.01,256,1.05,25.963733333333334
0.98,0.01,256,1.1,26.373866666666665
0.98,0.01,256,1.15,25.740000000000002
0.98,0.001,64,1.05,22.53386666666667
0.98,0.001,64,1.1,23.9168
0.98,0.001,64,1.15,19.590666666666667
0.98,0.001,128,1.05,22.261333333333333
0.98,0.001,128,1.1,24.472
0.98,0.001,128,1.15,22.05493333333333
0.98,0.001,256,1.05,21.221066666666665
0.98,0.001,256,1.1,23.0
0.98,0.001,256,1.15,20.856266666666663
0.98,0.0001,64,1.05,26.744533333333333
0.98,0.0001,64,1.1,26.981333333333332
0.98,0.0001,64,1.15,26.478666666666662
0.98,0.0001,128,1.05,25.409866666666666
0.98,0.0001,128,1.1,24.891733333333335
0.98,0.0001,128,1.15,24.412799999999997
0.98,0.0001,256,1.05,23.16186666666667
0.98,0.0001,256,1.1,22.638399999999997
0.98,0.0001,256,1.15,25.377066666666668
0.985,0.01,64,1.05,24.154666666666667
0.985,0.01,64,1.1,23.0576
0.985,0.01,64,1.15,23.54266666666667
0.985,0.01,128,1.05,25.756
0.985,0.01,128,1.1,25.3432
0.985,0.01,128,1.15,18.260266666666666
0.985,0.01,256,1.05,26.06693333333334
0.985,0.01,256,1.1,25.928266666666666
0.985,0.01,256,1.15,25.814133333333338
0.985,0.001,64,1.05,21.528533333333336
0.985,0.001,64,1.1,22.462133333333334
0.985,0.001,64,1.15,20.885066666666667
0.985,0.001,128,1.05,21.31466666666667
0.985,0.001,128,1.1,21.017066666666665
0.985,0.001,128,1.15,19.649333333333335
0.985,0.001,256,1.05,22.3952
0.985,0.001,256,1.1,22.3336
0.985,0.001,256,1.15,20.3248
0.985,0.0001,64,1.05,26.459466666666668
0.985,0.0001,64,1.1,26.50266666666667
0.985,0.0001,64,1.15,25.543466666666667
0.985,0.0001,128,1.05,26.057333333333332
0.985,0.0001,128,1.1,23.72
0.985,0.0001,128,1.15,24.8144
0.985,0.0001,256,1.05,25.692533333333337
0.985,0.0001,256,1.1,22.9112
0.985,0.0001,256,1.15,23.134666666666668
0.99,0.01,64,1.05,23.3128
0.99,0.01,64,1.1,24.068266666666666
0.99,0.01,64,1.15,23.320533333333334
0.99,0.01,128,1.05,22.144
0.99,0.01,128,1.1,21.669333333333334
0.99,0.01,128,1.15,24.244266666666665
0.99,0.01,256,1.05,25.90293333333333
0.99,0.01,256,1.1,25.783733333333334
0.99,0.01,256,1.15,25.3184
0.99,0.001,64,1.05,21.589599999999997
0.99,0.001,64,1.1,20.6808
0.99,0.001,64,1.15,22.93733333333333
0.99,0.001,128,1.05,20.122666666666667
0.99,0.001,128,1.1,20.381600000000002
0.99,0.001,128,1.15,21.819466666666663
0.99,0.001,256,1.05,21.255733333333332
0.99,0.001,256,1.1,20.5152
0.99,0.001,256,1.15,22.3232
0.99,0.0001,64,1.05,25.236
0.99,0.0001,64,1.1,25.69386666666667
0.99,0.0001,64,1.15,25.4352
0.99,0.0001,128,1.05,25.298133333333332
0.99,0.0001,128,1.1,25.324
0.99,0.0001,128,1.15,24.540533333333336
0.99,0.0001,256,1.05,25.7168
0.99,0.0001,256,1.1,22.278399999999998
0.99,0.0001,256,1.15,25.0968
