discount_factor,learn_rate,hidden_dim,init_temp,result
0.98,0.01,64,1.05,23.516
0.98,0.01,64,1.1,23.855466666666665
0.98,0.01,64,1.15,24.794400000000003
0.98,0.01,128,1.05,20.624000000000002
0.98,0.01,128,1.1,24.567200000000003
0.98,0.01,128,1.15,21.215466666666668
0.98,0.01,256,1.05,25.928800000000003
0.98,0.01,256,1.1,25.65573333333333
0.98,0.01,256,1.15,25.211733333333335
0.98,0.001,64,1.05,21.077066666666664
0.98,0.001,64,1.1,21.354400000000002
0.98,0.001,64,1.15,20.7416
0.98,0.001,128,1.05,22.502933333333335
0.98,0.001,128,1.1,22.425866666666668
0.98,0.001,128,1.15,21.7992
0.98,0.001,256,1.05,25.79893333333333
0.98,0.001,256,1.1,22.291733333333333
0.98,0.001,256,1.15,23.0792
0.98,0.0001,64,1.05,27.575466666666664
0.98,0.0001,64,1.1,25.621333333333336
0.98,0.0001,64,1.15,26.476266666666664
0.98,0.0001,128,1.05,25.472
0.98,0.0001,128,1.1,24.193333333333335
0.98,0.0001,128,1.15,25.106133333333332
0.98,0.0001,256,1.05,25.179733333333335
0.98,0.0001,256,1.1,25.154666666666664
0.98,0.0001,256,1.15,25.011733333333332
0.985,0.01,64,1.05,24.541066666666666
0.985,0.01,64,1.1,22.818666666666665
0.985,0.01,64,1.15,20.26053333333333
0.985,0.01,128,1.05,24.29413333333333
0.985,0.01,128,1.1,23.73333333333333
0.985,0.01,128,1.15,25.46906666666667
0.985,0.01,256,1.05,25.951733333333333
0.985,0.01,256,1.1,24.696533333333335
0.985,0.01,256,1.15,25.935200000000002
0.985,0.001,64,1.05,24.209866666666667
0.985,0.001,64,1.1,22.160000000000004
0.985,0.001,64,1.15,24.411466666666666
0.985,0.001,128,1.05,24.4024
0.985,0.001,128,1.1,22.983200000000004
0.985,0.001,128,1.15,20.8704
0.985,0.001,256,1.05,18.76213333333333
0.985,0.001,256,1.1,22.744
0.985,0.001,256,1.15,22.964
0.985,0.0001,64,1.05,24.867466666666665
0.985,0.0001,64,1.1,24.0824
0.985,0.0001,64,1.15,26.42373333333333
0.985,0.0001,128,1.05,25.1632
0.985,0.0001,128,1.1,26.018666666666668
0.985,0.0001,128,1.15,24.584
0.985,0.0001,256,1.05,24.576
0.985,0.0001,256,1.1,24.4728
0.985,0.0001,256,1.15,23.1888
0.99,0.01,64,1.05,22.478133333333332
0.99,0.01,64,1.1,24.641066666666667
0.99,0.01,64,1.15,24.298399999999997
0.99,0.01,128,1.05,20.616
0.99,0.01,128,1.1,25.4048
0.99,0.01,128,1.15,24.196266666666666
0.99,0.01,256,1.05,25.736266666666666
0.99,0.01,256,1.1,24.412266666666664
0.99,0.01,256,1.15,25.54266666666667
0.99,0.001,64,1.05,22.781066666666668
0.99,0.001,64,1.1,24.637866666666667
0.99,0.001,64,1.15,22.592533333333332
0.99,0.001,128,1.05,23.967733333333335
0.99,0.001,128,1.1,23.661333333333335
0.99,0.001,128,1.15,23.016533333333335
0.99,0.001,256,1.05,20.424799999999998
0.99,0.001,256,1.1,23.6168
0.99,0.001,256,1.15,22.31226666666667
0.99,0.0001,64,1.05,25.598666666666666
0.99,0.0001,64,1.1,26.090666666666664
0.99,0.0001,64,1.15,24.9264
0.99,0.0001,128,1.05,24.2968
0.99,0.0001,128,1.1,25.331466666666664
0.99,0.0001,128,1.15,24.46666666666667
0.99,0.0001,256,1.05,24.5536
0.99,0.0001,256,1.1,26.283733333333338
0.99,0.0001,256,1.15,25.514666666666663
