discount_factor,learn_rate,hidden_dim,init_temp,result
0.98,0.01,64,1.05,125.30933333333333
0.98,0.01,64,1.1,125.49653333333333
0.98,0.01,64,1.15,123.81386666666667
0.98,0.01,128,1.05,112.53973333333333
0.98,0.01,128,1.1,116.1944
0.98,0.01,128,1.15,101.1888
0.98,0.01,256,1.05,84.01066666666665
0.98,0.01,256,1.1,70.78826666666666
0.98,0.01,256,1.15,39.032
0.98,0.001,64,1.05,80.34666666666666
0.98,0.001,64,1.1,91.688
0.98,0.001,64,1.15,76.07386666666667
0.98,0.001,128,1.05,98.9736
0.98,0.001,128,1.1,99.66986666666668
0.98,0.001,128,1.15,102.93706666666667
0.98,0.001,256,1.05,114.84133333333334
0.98,0.001,256,1.1,113.91093333333333
0.98,0.001,256,1.15,110.36186666666666
0.98,0.0001,64,1.05,23.159466666666667
0.98,0.0001,64,1.1,24.916
0.98,0.0001,64,1.15,24.906933333333335
0.98,0.0001,128,1.05,27.19386666666667
0.98,0.0001,128,1.1,25.383733333333332
0.98,0.0001,128,1.15,27.1904
0.98,0.0001,256,1.05,31.845866666666666
0.98,0.0001,256,1.1,31.8464
0.98,0.0001,256,1.15,32.22186666666667
0.985,0.01,64,1.05,120.21013333333333
0.985,0.01,64,1.1,114.24026666666666
0.985,0.01,64,1.15,117.97786666666666
0.985,0.01,128,1.05,107.4328
0.985,0.01,128,1.1,109.80693333333333
0.985,0.01,128,1.15,98.60426666666667
0.985,0.01,256,1.05,61.70506666666665
0.985,0.01,256,1.1,27.616266666666668
0.985,0.01,256,1.15,82.84293333333333
0.985,0.001,64,1.05,70.85226666666668
0.985,0.001,64,1.1,79.60106666666668
0.985,0.001,64,1.15,81.68506666666666
0.985,0.001,128,1.05,99.1368
0.985,0.001,128,1.1,98.59973333333333
0.985,0.001,128,1.15,95.22053333333334
0.985,0.001,256,1.05,111.87173333333332
0.985,0.001,256,1.1,116.15733333333333
0.985,0.001,256,1.15,112.39573333333333
0.985,0.0001,64,1.05,24.638933333333334
0.985,0.0001,64,1.1,23.826133333333335
0.985,0.0001,64,1.15,24.772266666666663
0.985,0.0001,128,1.05,27.6416
0.985,0.0001,128,1.1,27.20533333333333
0.985,0.0001,128,1.15,28.229599999999998
0.985,0.0001,256,1.05,31.587733333333336
0.985,0.0001,256,1.1,31.964800000000004
0.985,0.0001,256,1.15,33.392
0.99,0.01,64,1.05,120.36453333333331
0.99,0.01,64,1.1,120.32773333333333
0.99,0.01,64,1.15,124.14853333333333
0.99,0.01,128,1.05,103.58373333333334
0.99,0.01,128,1.1,127.6176
0.99,0.01,128,1.15,121.99866666666667
0.99,0.01,256,1.05,72.72293333333333
0.99,0.01,256,1.1,55.699733333333334
0.99,0.01,256,1.15,65.41253333333333
0.99,0.001,64,1.05,75.18346666666666
0.99,0.001,64,1.1,77.43306666666668
0.99,0.001,64,1.15,74.83013333333335
0.99,0.001,128,1.05,100.48053333333334
0.99,0.001,128,1.1,93.06586666666666
0.99,0.001,128,1.15,99.40506666666666
0.99,0.001,256,1.05,113.80640000000001
0.99,0.001,256,1.1,110.1072
0.99,0.001,256,1.15,107.2816
0.99,0.0001,64,1.05,25.949333333333335
0.99,0.0001,64,1.1,24.169333333333334
0.99,0.0001,64,1.15,23.49013333333333
0.99,0.0001,128,1.05,27.489866666666664
0.99,0.0001,128,1.1,27.50586666666667
0.99,0.0001,128,1.15,28.137866666666667
0.99,0.0001,256,1.05,32.5312
0.99,0.0001,256,1.1,34.205333333333336
0.99,0.0001,256,1.15,32.95866666666667
